"fiscal_year","agency_name","title_description","work_location_borough","pay_basis","regular_hours","regular_gross_paid","ot_hours","total_ot_paid","total_other_pay"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","MANHATTAN","per Annum","0","-1538.41","0","0.00","1705.88"
"2024","NYC HOUSING AUTHORITY","COMMUNITY COORDINATOR","BROOKLYN","per Annum","1820.00","68032.67","0","0.00","1706.93"
"2024","NYC HOUSING AUTHORITY","CARPENTER","QUEENS","per Day","739","39112.31","69","6396.02","1709.40"
"2024","NYC HOUSING AUTHORITY","ADMINISTRATIVE LANDSCAPE ARCHITECT","QUEENS","per Annum","805","52110.91","0","0.00","1710.13"
"2024","NYC HOUSING AUTHORITY","ADMINISTRATIVE CONSTRUCTION PROJECT MANAGER","QUEENS","per Annum","1106.00","74024.58","0","0.00","1714.66"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","520","10296.37","193.5","5611.62","1715.79"
"2024","NYC HOUSING AUTHORITY","COMMUNITY ASSOCIATE","MANHATTAN","per Annum","364","12748.89","0","0.00","1715.83"
"2024","NYC HOUSING AUTHORITY","ASSISTANT RESIDENT BUILDING SUPT","BROOKLYN","per Annum","1960.00","74401.34","285.25","16042.64","1718.86"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","160","273.39","27.25","751.30","1723.81"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","2108.68","44806.71","61.5","2342.46","1725.77"
"2024","NYC HOUSING AUTHORITY","COMMUNITY ASSOCIATE","MANHATTAN","per Annum","1820.00","54882.75","0","55.30","1726.86"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","176","4153.18","43.75","1699.10","1738.00"
"2024","NYC HOUSING AUTHORITY","CITY SEASONAL AIDE","BRONX","Prorated Annual","18","-1519.85","0","0.00","1738.83"
"2024","NYC HOUSING AUTHORITY","CLERICAL AIDE","MANHATTAN","per Annum","1460.00","28554.73","0","0.00","1739.68"
"2024","NYC HOUSING AUTHORITY","CITY LABORER","MANHATTAN","per Day","80","-1450.00","0","0.00","1740.00"
"2024","NYC HOUSING AUTHORITY","ASSISTANT RESIDENT BUILDING SUPT","BROOKLYN","per Annum","2080.00","68750.29","491.25","24267.11","1745.43"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","1780.00","31714.12","187.75","5443.44","1745.68"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","0","-1159.01","0","311.49","1746.94"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","2016.00","41629.45","277.25","11530.11","1749.70"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BRONX","per Annum","791","32857.42","0","0.00","1750.71"
"2024","NYC HOUSING AUTHORITY","CITY SEASONAL AIDE","MANHATTAN","Prorated Annual","660","9193.27","0","0.00","1757.21"
"2024","NYC HOUSING AUTHORITY","SUPERVISING HOUSING GROUNDSKEEPER","BROOKLYN","per Annum","480","10883.63","57","2630.91","1763.77"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","1940.75","32737.52","225.5","7185.26","1765.73"
"2024","NYC HOUSING AUTHORITY","CONFIDENTIAL INVESTIGATOR","MANHATTAN","per Annum","119","7723.69","0","8.68","1767.16"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","0","649.95","0","354.04","1769.62"
"2024","NYC HOUSING AUTHORITY","PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","QUEENS","per Annum","1842.00","58995.70","0","0.00","1776.02"
"2024","NYC HOUSING AUTHORITY","COMMUNITY ASSOCIATE","MANHATTAN","per Annum","0","0.00","0","0.00","1776.76"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","QUEENS","per Day","168","5234.38","0","0.00","1782.25"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","1174.87","16639.60","116.75","3374.58","1784.76"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","1536.00","36450.20","70","3226.10","1784.87"
"2024","NYC HOUSING AUTHORITY","COMMUNITY ASSOCIATE","MANHATTAN","per Annum","1295.00","33436.73","0","0.00","1785.68"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","114228.40","396.75","34115.93","1786.93"
"2024","NYC HOUSING AUTHORITY","CITY SEASONAL AIDE","BRONX","Prorated Annual","552.85","6940.63","0","0.00","1786.99"
"2024","NYC HOUSING AUTHORITY","CITY SEASONAL AIDE","MANHATTAN","Prorated Annual","60","0.00","0","0.00","1787.01"
"2024","NYC HOUSING AUTHORITY","COMMUNITY COORDINATOR","MANHATTAN","per Annum","1820.00","88059.59","0","0.00","1787.46"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","440","4924.94","16.5","450.52","1790.47"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BROOKLYN","per Annum","420","13635.91","0","0.00","1792.59"
"2024","NYC HOUSING AUTHORITY","COMPUTER SPECIALIST","MANHATTAN","per Annum","1820.00","125736.83","0.5","39.40","1795.41"
"2024","NYC HOUSING AUTHORITY","COMMUNITY ASSOCIATE","MANHATTAN","per Annum","1400.00","31818.31","0","0.00","1797.15"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","MANHATTAN","per Annum","0","1787.79","0","0.00","1797.87"
"2024","NYC HOUSING AUTHORITY","HOUSING EXTERMINATOR-AL II & III","QUEENS","per Annum","1990.00","44268.09","189.75","5710.06","1799.41"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","1800.00","57470.25","300.25","19457.38","1801.50"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","385.15","7291.70","33","1555.10","1813.40"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","0","18.44","0","353.80","1814.43"
"2024","NYC HOUSING AUTHORITY","COMMUNITY COORDINATOR","MANHATTAN","per Annum","1820.00","87131.62","0","0.00","1815.68"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","0","374.38","0","587.05","1816.56"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BRONX","per Annum","350","5832.05","0","0.00","1818.57"
"2024","NYC HOUSING AUTHORITY","CARPENTER","MANHATTAN","per Day","773","44671.98","234.5","19622.50","1823.36"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR OF HOUSING CARETAKER","QUEENS","per Annum","0","3635.79","0","1897.05","1824.13"
"2024","NYC HOUSING AUTHORITY","COMMUNITY COORDINATOR","QUEENS","per Annum","1820.00","95627.03","0","0.00","1826.67"
"2024","NYC HOUSING AUTHORITY","PLUMBER","QUEENS","per Day","0","897.76","0","417.26","1827.48"
"2024","NYC HOUSING AUTHORITY","COMPUTER SYSTEMS MANAGER","MANHATTAN","per Annum","1120.00","98398.60","0","0.00","1832.89"
"2024","NYC HOUSING AUTHORITY","CITY SERVICE AIDE","MANHATTAN","Prorated Annual","160","1101.11","0","0.00","1834.96"
"2024","NYC HOUSING AUTHORITY","ADM MANAGER-NON-MGRL","MANHATTAN","per Annum","1820.00","146962.80","0","0.00","1840.15"
"2024","NYC HOUSING AUTHORITY","CUSTOMER INFORMATION REPRESENTATIVE MA L 1549","QUEENS","per Annum","1820.00","49547.82","0","0.00","1840.41"
"2024","NYC HOUSING AUTHORITY","RESIDENT BUILDING SUPERINTENDENT","BROOKLYN","per Annum","0","2949.54","0","2686.76","1840.67"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","321","20618.25","1844.80"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","1207.33","42894.79","165.75","10517.27","1847.00"
"2024","NYC HOUSING AUTHORITY","ADMINISTRATIVE STAFF ANALYST","QUEENS","per Annum","0","2706.69","0","0.00","1848.48"
"2024","NYC HOUSING AUTHORITY","CITY LABORER","MANHATTAN","per Day","2080.00","75400.00","550","33476.95","1848.75"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","QUEENS","per Day","1360.00","39213.84","136.5","6108.48","1852.58"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","520","6447.37","19.5","574.37","1856.66"
"2024","NYC HOUSING AUTHORITY","CUSTOMER INFORMATION REPRESENTATIVE MA L 1549","QUEENS","per Annum","1512.00","34335.61","11","250.14","1857.30"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","680","11998.22","155.25","4570.31","1858.94"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126407.64","95","9407.51","1860.50"
"2024","NYC HOUSING AUTHORITY","SECRETARY","MANHATTAN","per Annum","1134.00","30957.54","0","0.00","1862.28"
"2024","NYC HOUSING AUTHORITY","SECRETARY","BRONX","per Annum","1820.00","48142.10","0","58.88","1863.22"
"2024","NYC HOUSING AUTHORITY","HOUSING MANAGER","MANHATTAN","per Annum","0","189.24","0","0.00","1865.59"
"2024","NYC HOUSING AUTHORITY","HOUSING EXTERMINATOR","QUEENS","per Annum","0","-609.72","0","282.09","1866.12"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","80","1217.78","18","813.61","1867.01"
"2024","NYC HOUSING AUTHORITY","EMERGENCY SERVICE AIDE","MANHATTAN","per Annum","328","10354.08","8","323.52","1870.22"
"2024","NYC HOUSING AUTHORITY","COMMUNITY ASSOCIATE","MANHATTAN","per Annum","700","14778.32","0","0.00","1872.37"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","287","17857.13","1874.80"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","88","5772.00","1875.58"
"2024","NYC HOUSING AUTHORITY","CITY LABORER","MANHATTAN","per Day","2080.00","75400.00","616.25","37129.11","1875.94"
"2024","NYC HOUSING AUTHORITY","CITY SEASONAL AIDE","MANHATTAN","Prorated Annual","945","18764.52","0","0.00","1881.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","353.5","22856.75","1881.80"
"2024","NYC HOUSING AUTHORITY","HOUSING EXTERMINATOR","QUEENS","per Annum","948.55","30027.48","3.25","651.84","1887.22"
"2024","NYC HOUSING AUTHORITY","PLASTERER","BROOKLYN","per Day","0","5131.75","0","1581.73","1887.23"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","114774.46","239.25","20307.55","1888.80"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","252.75","16798.00","1888.80"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","374","24457.00","1888.80"
"2024","NYC HOUSING AUTHORITY","ASSISTANT HOUSING MANAGER","MANHATTAN","per Annum","182","12786.56","0","73.23","1889.86"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","1982.85","43476.35","325","13361.68","1889.92"
"2024","NYC HOUSING AUTHORITY","PAINTER","MANHATTAN","per Day","280","9677.14","3.25","219.43","1890.42"
"2024","NYC HOUSING AUTHORITY","CITY SEASONAL AIDE","MANHATTAN","Prorated Annual","660","10136.37","0","0.00","1896.20"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","344","21853.13","1902.80"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","389.75","25312.63","1902.80"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","360.25","23966.75","1903.58"
"2024","NYC HOUSING AUTHORITY","COMMUNITY ASSOCIATE","MANHATTAN","per Annum","735","23084.14","0","0.00","1903.86"
"2024","NYC HOUSING AUTHORITY","COMMUNITY COORDINATOR","QUEENS","per Annum","1820.00","67963.08","8","301.50","1906.27"
"2024","NYC HOUSING AUTHORITY","CITY SEASONAL AIDE","BROOKLYN","Prorated Annual","278.57","3978.41","0","0.00","1908.10"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","316.57","3826.29","15.5","528.89","1909.30"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","278.75","18259.51","1909.80"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","736","20033.82","100.5","4678.95","1910.70"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","1767.05","32918.60","171.5","5393.80","1913.88"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76821.25","210.75","12704.88","1916.80"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","339.5","21506.26","1916.80"
"2024","NYC HOUSING AUTHORITY","SECRETARY","BROOKLYN","per Annum","1820.00","43320.71","0","0.00","1920.24"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","71299.00","484.5","30585.15","1923.80"
"2024","NYC HOUSING AUTHORITY","BRICKLAYER","BROOKLYN","per Day","0","7137.19","0","570.60","1926.66"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","0","-1531.34","8","781.44","1926.91"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","252.37","4277.71","29","1459.36","1933.86"
"2024","NYC HOUSING AUTHORITY","CARPENTER","BRONX","per Day","910","52905.93","511.5","45633.87","1937.32"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76960.00","355.5","22385.00","1937.80"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","0","2538.08","0","939.60","1940.97"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","1636.57","40074.13","391.25","16351.68","1941.40"
"2024","NYC HOUSING AUTHORITY","PLUMBER","BROOKLYN","per Day","0","1256.86","0","455.73","1945.13"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","QUEENS","per Day","2048.00","58903.93","20.75","969.86","1948.69"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","117777.77","225.5","19334.82","1953.50"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BROOKLYN","per Annum","0","2854.48","0","21.04","1953.74"
"2024","NYC HOUSING AUTHORITY","COMMUNITY COORDINATOR","MANHATTAN","per Annum","1820.00","67895.08","0","0.00","1955.43"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","2080.00","52292.47","97.5","4423.91","1956.06"
"2024","NYC HOUSING AUTHORITY","HOUSING EXTERMINATOR","QUEENS","per Annum","643.43","10611.76","59.75","1793.11","1959.10"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BRONX","per Annum","301","14832.30","0","0.00","1964.26"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","2056.75","23883.11","171.5","4694.78","1964.96"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","0","266.91","0","311.81","1964.99"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","440","5164.97","4","99.12","1965.76"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","76830.50","415","25391.26","1965.80"
"2024","NYC HOUSING AUTHORITY","COMMUNITY ASSOCIATE","MANHATTAN","per Annum","1820.00","48941.60","0","0.00","1968.59"
"2024","NYC HOUSING AUTHORITY","RESIDENT BUILDING SUPERINTENDENT","BROOKLYN","per Annum","0","3168.24","0","206.13","1975.02"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR PAINTER","QUEENS","per Day","0","5267.55","0","1432.91","1982.05"
"2024","NYC HOUSING AUTHORITY","COMMUNITY SERVICE AIDE","QUEENS","per Annum","840","16415.01","0","0.00","1982.81"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","MANHATTAN","per Day","2080.00","66348.52","272.25","13067.19","1991.20"
"2024","NYC HOUSING AUTHORITY","SECRETARY","BROOKLYN","per Annum","70","-457.56","0","0.00","1996.84"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","BRONX","per Day","1344.00","40382.08","275.5","12645.06","1997.97"
"2024","NYC HOUSING AUTHORITY","PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","QUEENS","per Annum","1820.00","69889.36","0","0.00","1998.22"
"2024","NYC HOUSING AUTHORITY","PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR","QUEENS","per Annum","1820.00","65101.88","6","217.25","1998.22"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","897.15","19581.45","124","5380.63","2002.17"
"2024","NYC HOUSING AUTHORITY","ROOFER","BRONX","per Day","483","24299.18","39","2045.08","2002.24"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR OF HOUSING STOCK WORKERS","MANHATTAN","per Annum","35","5009.09","0","0.00","2003.32"
"2024","NYC HOUSING AUTHORITY","CLERICAL ASSOCIATE","MANHATTAN","per Annum","1820.00","46533.73","0","0.00","2004.58"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","MANHATTAN","per Day","1128.00","33816.96","28.75","1292.92","2006.92"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC HELPER","MANHATTAN","per Day","2080.00","74934.25","590.75","38151.63","2007.80"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BRONX","per Annum","0","-1769.27","0","0.00","2012.19"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","2040.00","24778.81","208.5","6270.61","2020.47"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BRONX","per Annum","1240.00","21096.60","119.25","3303.78","2020.81"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","197.75","21471.34","2023.84"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","734.57","12750.29","16.75","456.98","2024.97"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BROOKLYN","per Annum","350","7017.62","0","0.00","2031.41"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BRONX","per Annum","70","-847.95","0","0.00","2031.59"
"2024","NYC HOUSING AUTHORITY","DIRECTOR OF INFORMATION SYSTEMS","MANHATTAN","per Annum","35","3346.05","0","0.00","2031.72"
"2024","NYC HOUSING AUTHORITY","ESTIMATOR","QUEENS","per Annum","1820.00","103281.22","0","0.00","2038.60"
"2024","NYC HOUSING AUTHORITY","COMMUNITY COORDINATOR","QUEENS","per Annum","1820.00","76932.61","0","0.00","2042.18"
"2024","NYC HOUSING AUTHORITY","COMMUNITY COORDINATOR","QUEENS","per Annum","1820.00","67770.50","26.75","1062.72","2042.84"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","193.5","20611.26","2047.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","198.5","21296.30","2047.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","119709.71","229.75","24416.90","2047.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","281","28450.89","2047.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","377","36869.94","2047.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","176","18784.58","2048.06"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","455.5","47646.44","2049.39"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","1711.00","40528.38","216.25","9186.75","2049.53"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","1999.25","121734.42","147","15618.30","2051.23"
"2024","NYC HOUSING AUTHORITY","ADMINISTRATIVE STAFF ANALYST","MANHATTAN","per Annum","0","5456.90","0","0.00","2053.40"
"2024","NYC HOUSING AUTHORITY","PLASTERER","BRONX","per Day","2080.00","127538.07","0","0.00","2053.82"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","193.75","21372.40","2054.28"
"2024","NYC HOUSING AUTHORITY","CUSTOMER INFORMATION REPRESENTATIVE MA L 1549","QUEENS","per Annum","1820.00","60308.96","59.5","2041.54","2054.31"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","251","26639.37","2055.06"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","384.5","38885.98","2056.39"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","446.5","45971.95","2057.17"
"2024","NYC HOUSING AUTHORITY","PLASTERER","MANHATTAN","per Day","2080.00","121633.98","131.25","12504.24","2058.55"
"2024","NYC HOUSING AUTHORITY","ASSOCIATE PROJECT MANAGER","MANHATTAN","per Annum","1820.00","98600.30","207.75","11988.00","2060.18"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","206.25","21760.58","2061.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","467.25","46102.43","2061.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","326.75","32705.66","2064.17"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","440","3552.26","15.75","437.01","2065.93"
"2024","NYC HOUSING AUTHORITY","CITY LABORER","MANHATTAN","per Day","2080.00","75400.00","496.5","30305.05","2066.24"
"2024","NYC HOUSING AUTHORITY","CUSTOMER INFORMATION REPRESENTATIVE MA L 1549","QUEENS","per Annum","420","6314.65","0","0.00","2066.39"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","QUEENS","per Annum","1750.00","68421.22","0","0.00","2067.27"
"2024","NYC HOUSING AUTHORITY","PLASTERER","BROOKLYN","per Day","2073.25","121331.94","221.25","26618.94","2068.36"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2000.00","121779.45","433.25","46185.06","2071.21"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","BRONX","per Day","480","14956.80","59.5","2520.07","2072.60"
"2024","NYC HOUSING AUTHORITY","ADMINISTRATIVE STAFF ANALYST","QUEENS","per Annum","0","4015.20","0","0.00","2073.15"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126529.42","231.75","24531.09","2075.28"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","516","7927.87","0","724.39","2075.89"
"2024","NYC HOUSING AUTHORITY","COMMUNITY COORDINATOR","MANHATTAN","per Annum","1547.00","73215.89","0","0.00","2076.32"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","376.5","36580.86","2080.04"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","205.5","21707.29","2082.28"
"2024","NYC HOUSING AUTHORITY","CARETAKER","BROOKLYN","per Annum","0","-1374.76","0","350.12","2083.32"
"2024","NYC HOUSING AUTHORITY","ADMINISTRATIVE INSPECTOR","QUEENS","per Annum","1820.00","120263.17","0","0.00","2088.76"
"2024","NYC HOUSING AUTHORITY","SUPERVISING HOUSING GROUNDSKEEPER","BRONX","per Annum","2080.00","58887.76","448.5","19895.40","2092.19"
"2024","NYC HOUSING AUTHORITY","CONSTRUCTION PROJECT MANAGER","QUEENS","per Annum","35","1767.00","0","0.00","2095.07"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR PAINTER","QUEENS","per Day","625.75","35072.13","5","511.70","2096.18"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","121658.22","238","24660.48","2096.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","241.5","25238.91","2096.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","431.5","44130.02","2096.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","553.5","55714.57","2097.06"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","808","19864.93","217","9871.12","2108.38"
"2024","NYC HOUSING AUTHORITY","CARETAKER","MANHATTAN","per Annum","2080.00","72647.93","301.75","18045.49","2109.12"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","834.75","83549.79","2112.39"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","124252.88","246","23868.10","2117.28"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","447","45971.95","2117.28"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BROOKLYN","per Annum","1820.00","52710.03","53.5","1541.90","2117.31"
"2024","NYC HOUSING AUTHORITY","ELEVATOR MECHANIC","MANHATTAN","per Day","2080.00","126651.20","505.5","51131.03","2119.39"
"2024","NYC HOUSING AUTHORITY","CITY LABORER","MANHATTAN","per Day","2080.00","75400.00","553.75","32802.76","2120.62"
"2024","NYC HOUSING AUTHORITY","CITY LABORER","MANHATTAN","per Day","2080.00","75400.00","746","44806.21","2120.63"
"2024","NYC HOUSING AUTHORITY","HOUSING ASSISTANT","BROOKLYN","per Annum","1505.00","47977.01","144.25","5962.24","2122.55"
"2024","NYC HOUSING AUTHORITY","PLASTERER","MANHATTAN","per Day","0","11841.20","0","1602.05","2123.77"
"2024","NYC HOUSING AUTHORITY","RESIDENT BUILDING SUPERINTENDENT","BRONX","per Annum","1985.00","67632.40","464","21815.78","2123.77"
"2024","NYC HOUSING AUTHORITY","SECRETARY","MANHATTAN","per Annum","1776.52","42746.18","0","0.00","2124.84"
"2024","NYC HOUSING AUTHORITY","SUPERVISOR PAINTER","BRONX","per Day","0","6165.23","0","5012.33","2130.42"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","QUEENS","per Day","712","21341.44","26.25","1180.47","2135.51"
"2024","NYC HOUSING AUTHORITY","CARETAKER","QUEENS","per Annum","264","6058.46","68.5","2185.17","2139.90"
"2024","NYC HOUSING AUTHORITY","MAINTENANCE WORKER","QUEENS","per Day","2080.00","65043.20","17.5","817.95","2142.92"
